100,"Heirloom of the Gemma\nfamily. Shines with a\npale and frigid light.","洁玛家代代相传下来的除魔的\n护身符。凛冽的青白色光辉与\n微微的冷气附着其上。","ジェンマの家系に受け継がれた\n魔除け。凛とした青白い輝きと\n微かな冷気をまとっている。",
101,"A ruby set in gold.\nIts condition is\nvirtually flawless.","有黄金装饰的大颗红宝石。\n保存状态良好，珠子表面\n看不到明显的瑕疵。","金の装飾が付いた大粒の紅玉。\n保存状態が良かったらしく、\n表面には目立った傷はない。",
102,"Sapphire-encrusted\nring inscribed with a\nmessage from its giver.","镶着蓝色宝石的戒指。\n内面似乎刻有赠送者的\n讯息。","青い宝玉がはめ込まれた指輪。\n裏側には贈り主のものと思しき\nメッセージが刻まれている。",
103,"Gold necklace adorned\nwith countless small\nrubies and patterns.","黄金项链。镶嵌着许多\n小颗的红宝石。上面有\n凌乱的刮痕。","金の首飾り。散りばめられた\nルビーは小粒のものが多く、\n割と乱雑に扱われた跡がある。",
104,"Beautiful golden vase.\nHas a hole for some\nvariety of ornament.","纯金制的豪华台座。\n凹陷处可用来放置球体，\n但是用途不明。","純金製の豪華な台座。\n球体を乗せるくぼみがあるが、\n何に使われたのかは不明。",
105,"Medicine made from the\nRed Digitalis plant.\nHeals mind and body.","用红色赤毛地黄叶子熬制\n的药水。具有迅速回复\n身心不调的功能。","赤ジギタリスの葉を煎じた\n真紅の飲み薬。心身の不調を\n瞬く間に回復する効能を持つ。",
106,"Magic wing. Warps the\nuser to Minea. Some\nareas seal its power.","翅膀形状的魔法护身符。\n可瞬间跳跃到米内亚城镇。\n在强大结界下就无法使用。","翼を象った魔法の護符。\n使うとミネアの町に一瞬で帰還\nすることができる。",
107,"Ordinary iron hammer.\nFairly heavy. Could be\nused to break stone.","随处可见的铁制锤子。\n由于锤子本身很重，\n所以被用来敲碎岩石。","ありふれた鉄製の鎚。\nかなりの重量があり、岩などを\n崩すのに使われている。",
108,"Mirror that can freeze\na single moment. Will\nbreak with overuse.","可使映照的光景一时间静止。\n因为本身耐久性方面的极限，\n使用几次就会坏掉。","映りこんだ光景を一時的に静止\nさせる鏡。耐久力に限界があり\n数回ほど使うと壊れてしまう。",
109,"Stone mask with inset\njade. Hides enemies,\nbut reveals secrets.","镶有翡翠的石头面具。\n戴上后会看不见有生命的物体，\n相对的，可以看见隐藏的渠道。","翡翠が埋め込まれた石の仮面。\n生物の姿が目に映らなくなるが\n隠し通路が見えるようになる。",
110,"Necklace of luminous\nblue crystal. Able to\nnullify evil traps.","以发出青色光辉的矿石打造的首\n饰。隐藏着强力的破邪力量，可\n以让邪恶的机关无效化。","青く輝く鉱石の首飾り。\n強力な破邪の力を秘めており、\n邪悪なトラップを無効化する。",
111,"Potion blessed by a\npriest. Gives insight\non defeated enemies.","伟大的传道师调配出来的\n药水。可视战斗经验而\n得到相应的魔物的知识。","偉大な伝道師が調合したという\n飲み薬。戦った経験に応じて、\n魔物の情報が得られる。",
112,"Paper with several\nlines of an unreadable\nlanguage written on it.","一张纸上写着数行\n无法阅读的文章。","１枚の紙片に、読めない文字で\n数行の文章が書かれている。",
113,"Adol","亚特鲁","アドルさん",
114,"Ayla","爱拉","アイラ",
115,"Doctor Bludo","布鲁多医生","医師ブルドー",
116,"Slaff","史拉夫","スラフ",
117,"Doctor Klaus","克拉杰医生","医師クラーゼ",
118,"Sara","莎拉","サラ",
119,"Reah","蕾雅","レア",
