2500,"Yet always, I feel obligated\nto respond, and seek her out.","我直觉...我有呼应\n那个呼唤的义务。\n","",
2501,"<!empty>","","",
2502,"...So I wander. Both in my\ndream, and in reality...","...这种感觉一直驱散不去。","",
2503,"I am indebted to you, Adol.","亚特鲁先生，谢谢你的帮忙。","",
2504,"We don't have much to offer,\nbut you may think of this\nhouse as your own home.","不好意思，家里没什么可以招待的，\n您请慢慢休息吧。","",
2505,"I swear, what is\nLuta thinking?!","卢达真是的，\n一点也不懂得别人的心情...！","",
2506,"How can he say not to\nworry, when he KNOWS\nhe'll sleepwalk again?!","『我估计我还会再梦游，不过\n我会想办法回来的，你不用担心。』\n...竟然说那种话...。","",
2507,"I may need to tie him to\nthe bed tonight. And leave\nhim that way, this time...","啊，我好不安啊...\n也许我该把他绑在床上才对？","",
2508,"A refreshing breeze drifted up from\nthe plains and gently shook the\nleaves at the top of the Great Tree.","\n凉风筝过草原\n温柔地摇动大树的树稍。","",
2509,"Here, no monsters could be heard.\nOnly the sound of rustling leaves.","\n四周没有魔物的气息，\n只听见树叶摩擦的声音。","",
2510,"A refreshing breeze drifted up from\nthe plains and gently shook the\nleaves at the top of the Great Tree.","\n凉风筝过草原\n温柔地摇动大树的树梢。","",
2511,"It almost sounded like a soft\nvoice, blending in with the\nsound of the wind.","\n在风的声响之中，\n混杂着不知是谁的低声细语。","",
2512,"A refreshing breeze drifted up from\nthe plains and gently shook the\nleaves at the top of the Great Tree.","\n凉风筝过草原\n温柔地摇动大树的树梢。","",
2513,"The wind sounded almost as though\nit were talking to Adol.","\n在风的声响之中\n有个声音在向亚特鲁倾诉。","",
2514,"Silver light began to spill out\nfrom the roots of the Great Tree.","大树的根部发出银色光芒。","",
2515,"A refreshing breeze drifted up from\nthe plains and gently shook the\nleaves at the top of the Great Tree.","\n凉风筝过草原\n温柔地摇动大树的树梢。","",
2516,"The mysterious voice could\nbe heard no longer...","\n那不可思议的声音\n已经消失...。","",
2517,"<!empty>","","",
2518,"<!empty>","","",
2519,"<!empty>","","",
2520,"<!empty>","","",
2521,"<!empty>","","",
2522,"Whoa!","啊！","",
2523,"Don't scare me like that. I\nthought you were a monster...","啊，别吓我。\n我还以为是魔物的士兵呢...","",
2524,"I haven't seen another human in\nquite some time... You're not in\ncahoots with the evil ones, are you?","我好像从没见过你...\n你不是那些魔物的同伴吧？","",
2525,"<!empty>","","",
2526,"Good, good. Then you're welcome to\nstay here and take refuge with me,\nif you'd like.","这么危险的地方\n真亏你有办法跑进来。","",
2527,"Won't be great company for you,\nthough, I'm afraid. I have matters\nof my own to attend to!","...抱歉，\n我很忙，没时间陪你讲话。","",
2528,"I've lost something extremely\nimportant to me, and I won't\nrest until I've found it.","大事不好了，\n重要的物品不见了...","",
2529,"Wha...?! That's my idol!","哦哦哦...！\n那个不是我的偶像吗！","",
2530,"I see, so Dogi asked you to\nbring it to me? Much obliged!","原来是多奇拜托你的吗。\n谢谢你专程送来给我。","",
2531,"My name is Raba. I'm a seeker\nof ancient knowledge. A scholar\nby trade, if you will.","我的名字叫做拉巴。","",
2532,"I came here six months ago to\nstudy the ancient ruins of\nEsteria.","勉强可以算是一名学者。\n半年前为了调查古代遗迹，\n跨海来到艾斯塔里亚的。","",
2533,"But while I was investigating\nthis tower, monsters suddenly\ncame from every which way.","很不巧，就在这里进行调查的时候，\n突然冒出一大堆的魔物。","",
2534,"So I've been hiding out in here,\nhoping they wouldn't find me.","然后我就被关在这里面了。","",
2535,"This Idol has been my saving\ngrace. It may not look like\nmuch, but it's full of power!","...这个偶像是我唯一的依靠。\n它隐藏着很多神奇的力量哦。","",
2536,"<!empty>","","",
2537,"When held close to the body,\nit can make you completely\nvanish from sight.","随身携带着它，\n可以把自己的气息完全消除掉。","",
2538,"It's the reason I've been able\nto survive for so long without\nthe monsters finding me.","托这个东西的福，\n我才能够活到今天呀。","",
2539,"...Well, young man? What brings\nYOU to this dreadful place?","...好了，换你说了，年轻人。\n你为什么要来这个塔？","",
2540,"Your equipment suggests you came\nhere knowing of its dangers. So I\nassume you have a reason.","从你的装备来看，你是有备而来的。\n你的这里应该是有什么目的的吧？","",
2541,"Adol explained that he entered Darm\nTower in search of the Books of Ys.","\n亚特鲁说出自己\n进入达姆之塔的原因，是为了寻找伊苏之书。","",
2542,"I see...","...是吗...","",
2543,"That was going to be my first\nguess, actually!","果然是这样啊！","",
2544,"The name Ys appears quite\nfrequently in ancient texts\neven on the mainland.","『伊苏』这个名字在大陆流传的古文书里面\n也经常出现。","",
2545,"They say it's a land adept in the\npowers of magic, with an abundant\nsupply of a silver-like metal.","那是因称为『魔法』的神奇力量\n与像白银一样闪亮的金属，而繁极一时的国家。","",
