1900,"<!empty>","","",
1901,"Adol...","亚特鲁先生...","",
1902,"I can never thank you enough for\nrescuing me from that prison cell.\nIt feels so good to be free!","谢谢你，\n把我从地牢中救了出来。\n我真的好高兴...","",
1903,"I still can't remember anything\nbut my name, though.","我只记得自己的名字，菲娜...\n其他的一点记忆都没有。","",
1904,"Who am I? What have I done with my\nlife? And why was I locked in that\ncell in the first place?","我不知道以前过着什么样的生活...\n也不知道自己为什么被关在神殿...。","",
1905,"I don't know the answers to any of\nit. I only know that my name is\nFeena, and I've been a prisoner.","...什么都不知道，一片空白。","",
1906,"<!empty>","","",
1907,"Why can't I remember anything\nmore...?","到底...我...","",
1908,"<!empty>","","",
1909,"This is a lovely village. Jeba\nintroduced me to the villagers,\nand everyone seems so very nice.","...这个村子真好。\n不论是洁瓦，还是其它人，\n大家对我都很亲切。","",
1910,"This is the first time I can recall\nwhen I've felt so at peace...","这种安心放松的感觉，彷佛...\n我已经失去了很久。","",
1911,"I don't really care if I never get\nmy memories back. If I could stay\nin this place, with these people...","只要这种和平的生活可以持续下去...\n就算没恢复记忆我也不在乎...","",
1912,"...I know, I know. I should be\ntrying harder to remember. But I'm\njust...so happy here!","有时候...我就是会不禁这么想。","",
1913,"<!empty>","","",
1914,"<!empty>","","",
1915,"<!empty>","","",
1916,"<!empty>","","",
1917,"...You're not from Esteria.\nWho are you? No one has ever\nmade it past the Stormwall!","你不是艾斯塔里亚的人吧？\n真难得...\n『岚之结界』也会有漏网之鱼啊。","",
1918,"If you feel like you need some\nguidance, I recommend paying a\nvisit to the fortuneteller in Minea.","当你找不到自己的道路时，\n可以去问米内亚的占占卜师。\n她应该会给你一些建议。","",
1919,"<!empty>","","",
1920,"<!empty>","","",
1921,"<!empty>","","",
1922,"Sara's Crystal...","那水晶是莎拉的...","",
1923,"I see. So you're the swordsman Sara\nhas been seeking all this time.","原来你就是莎拉找到的剑士啊。","",
