2000,"<!empty>","","",
2001,"Sara, too...seemed to know the fate\nthat stood before her. I suppose it\nwas her job to know, after all.","莎拉自己应该...\n也有觉悟到自己的命运吧...","",
2002,"...","......","",
2003,"<!empty>","","",
2004,"<!empty>","","",
2005,"Does that bother you? If it sets\nyour mind at ease, do know that she\nhad completely accepted her destiny.","你很在意莎拉的事吗？\n她一直很明白自己的命运的。","",
2006,"We shall both grieve, certainly.\nBut if you wish to honor her memory,\nthen...carry out her final wish.","你真那么伤心的话，\n就帮她把未完的事做完吧。","",
2007,"<!empty>","","",
2008," What will you do?","要做什么？","",
2009,"Speak to Jeba","与洁瓦讲话","",
2010,"Ask Jeba to read","请她解读","",
2011,"Leave","不讲话了","",
2012,"Long ago, Ys was ruled by two\nGoddesses and six Priests.","...据传，古代的伊苏国是由\n二位女神与六位神官所统治。","",
2013,"Sara and I are descended from one of\nthese Priests. Much of Sara's power\ncame from the Tovah bloodline.","我与莎拉就是神官托霸的后代。\n特别是莎拉，明显的继承了神官祖先的力量...。","",
2014,"I suspect she knew more about the\ndisasters befalling Esteria than\nanyone could've imagined...","也许她的眼中，早就已经看到\n正在逼近的灾难的全貌...","",
2015,"<!empty>","","",
2016,"...Well, we cannot grieve Sara's loss\nforever.","...人是不可能\n永远沉浸在悲伤的情感之中的。","",
2017,"In order to grant her dying wish,\nyou must continue onward, Adol.\nYou must find the Books of Ys!","为了继承莎拉的遗志...\n我会尽我所有的力量来协助你。","",
2018,"I am fully convinced that you are\nthe swordsman whose coming Sara\nforetold.","毕竟不管怎么说，\n你可是她找到的剑士啊。","",
2019,"At any rate... The Books of Ys...","接着嘛...先说『伊苏之书』吧。","",
2020,"I'm a bit rusty...but with Sara\ngone, I am the only one left who\ncan read the ancient script.","莎拉已经不在了，\n能解读古文字的人，世上恐怕就只剩下我啰。","",
2021,"<!empty>","","",
2022,"<!empty>","","",
2023,"<!empty>","","",
2024,"<!empty>","","",
2025,"Which shall I read?","要读哪一章？","",
2026,"Volume Hadal","哈达尔之章","",
2027,"Volume Tovah","托霸之章","",
2028,"Volume Dabbie","达比之章","",
2029,"None for now","不读了","",
2030,"<!empty>","","",
2031,"So this is the book you found\nin the shrine...","这就是在神殿找到的吗...","",
2032,"<!empty>","","",
2033,"<!empty>","","",
2034,"<!empty>","","",
2035,"This is the Book of Ys lost from\nour family's storehouse, long ago.","这不是我们托霸家遗失的\n伊苏之书吗...","",
2036,"<!empty>","","",
2037,"<!empty>","","",
2038,"<!empty>","","",
2039,"So...it was in the abandoned mine,\nwas it? How peculiar...","废矿坑的深处...\n竟然在那种地方呀。","",
2040,"<!empty>","","",
2041,"<!empty>","","",
2042,"The words recorded in these books\nwill surely illuminate the truth\nbehind Esteria's turmoil...","书上记载的内容\n应该会为我们解明\n一连串事件背后的真相。","",
2043,"The Stormwall... The appearance of\nthe monsters... The continued theft\nof all items made from silver...","岚之结界...魔物的出现...\n银制品的失窃事件...","",
2044,"And now, Sara's death...","还有莎拉的死...","",
2045,"I'm certain that all of this stems\nfrom a great instability in the\nflow of destiny.","...这些事件，\n只是正在发生的历史巨变中\n的小插曲。","",
2046,"You are the only one with the\nability to uncover the truth\nbehind it all!","知道这些事的人，可能就只有你了。","",
2047,"<!empty>","","",
2048,"<!empty>","","",
2049," What will you do?","要做什么？","",
2050,"Speak to Jeba","与洁瓦讲话","",
2051,"Speak to Feena","与菲娜讲话","",
2052,"Ask Jeba to read","请求解读","",
2053,"Leave","不讲话了","",
2054,"<!empty>","","",
2055,"One of the villagers reported\nsomething most unusual.","刚才村子的人在谈一件很奇怪的事。\n","",
2056,"She said she could hear a mysterious\nvoice mixed in with the winds upon\nthe plain. It was like a whisper...","据说草原吹来的风中\n传来不可思议的声音。","",
