988,"Gold vases and silver armor...\nExpensive stuff, you know?","被搬走的尽是金之台座啦、银之铠啦...值钱的东西。","金の台座に、銀の鎧……高価なものばかりだ。",
989,"It's extremely annoying. I hope they\ncatch the bastards who took them and\nhang 'em out to dry!","想了就咬牙切齿...\n那些家伙真应该赶快抓起来，\n全部送去吊死。","まったく忌々しい……\nあんな奴ら、とっとと捕まえて\n縛り首にすればいいんだよ。",
991,"So, a little bird tells me you've\nbeen to the old shrine. You find\nanything good there? I pay well...","听说你去过神殿了。\n有没有得到什么宝贝？\n我可以跟你高价收购哦。","あんた、神殿へ行ってきたんだってな。\nなんか掘り出し物はなかったかい？\n高く買い取ってやるぜ？",
992,"I briefly toured the place before,\nbut couldn't linger on account of\nthe monsters. It was truly a pity.","我早就相准那个神殿了，问题是，\n魔物太多，连靠近都不能靠近。\n你有没有弄到什么好东西呀？","あの神殿には、目をつけていたんだが\n魔物のせいで近づけなかったんだ。\n何かめぼしい物は、手に入れなかったか？",
996,"Ah yes... The fortuneteller.\nMurdered, I hear.","对了，听说女占卜师被杀死了。","そういや、占い師の女が殺されたそうだな。",
997,"Didn't see her own death coming...\nProbably a con artist.","她连自己的死都无法算出来，\n可见她的占卜根本就是假的。","自分の死が判らなかったってことは、\n占いの腕も、インチキだったってことさ。",
998,"Just between the two of us, I\nalways suspected she might be in\nleague with the thieves.","...这事你可别跟外人说，\n听说啊，那女人跟盗贼是一伙的。\n说不定她是因为起内闹的关系被杀的。","……ここだけの話、\nあの女、どうも盗賊とツルんでたらしい。\n仲間割れでも起こしたのかもしれないぜ。",
1000,"Wow, not bad. I didn't think anyone\ncould poke around that old mine and\nlive to tell about it...","真看不出来你这家伙这么厉害，。\n居然可以从废矿坑活着回来...。","あんた、見かけによらず、すごいヤツだな。\nあの廃坑から、生きて帰ってくるとは……。",
1001,"Well, did you find anything good\ndown there? I'm always looking to\nbuy...","废矿坑那里有没有捡到什么好东西？\n我可以跟你高价收购哦。","廃坑には何か落ちていなかったかい？\n高く買い取らせてもらうぜ。",
1002,"Hmm, that silver armor... I think\nI might have seen it before.","啊，那个银之铠...\n怎么好眼熟的样子。","おやぁ、その銀の鎧……\nどこかで見たような気がするんだが。",
1003,"But nothing like that's ever been\nstolen from here, so I'm not sure\nwhen or where I would've...","我这里遭窃的铠甲\n没有那么光鲜亮丽...。","私の所から盗まれた鎧は、\nそんなピカピカじゃなかったし……。",
1005,"...Maybe I'm just a bit touched\nin the head...","啊...是我多心吗？","はて……気のせいか？",
