700,"So you're Adol... Well,\nit's good to finally meet\nyou.","亚特鲁吗...\n好吧，请多多指教。","",
701,"Hmm? What's wrong? Did\nyou need something?","嗯？怎么啦？\n找我有什么事吗？","",
702,"One of our jobs is to\nescort people between\nplaces like Minea and\nZepik Village.","自卫队的工作之一\n是护送本地人到\n米内亚或塞皮克村...","",
703,"The monsters tend to avoid me, yet\nalways attack the villagers I'm\nescorting, from behind, without\nfail. Cunning bastards...","有时候魔物偏偏不找我，\n专挑后面被护送的人，\n找弱的人下手。\n都是堆狡滑到令人害怕的家伙。","",
704,"I guess the only way to\nprotect others is by\nputting yourself between\nthem and the enemy.","保护他人的要诀是\n随时保持在敌人与自己人中间的那个位置。","",
705,"They're wily ones, though. When\nyou're outside the town, be sure\nyou don't let your guard down for\neven a single instant!","总之那些家伙很狡滑就对了。\n到了城镇以外的地方，绝不能露出半点破绽。","",
706,"<!empty>","","",
707,"<!empty>","","",
708,"We watch the surrounding area from\nhere. That way, if the demons try\nto mount an attack, we can see them\ncoming and get ready for it.","从这里可以监视城外的情况。\n魔物妄图入侵时，\n一眼就看出来了。","",
709,"I doubt they'll attack\nduring the day, of course,\nbut 'tis better to be safe\nthan sorry...you know?","我想那些魔物\n是不大可能大白天就来偷袭，不过...\n总之绝不以大意轻敌。","",
710,"It's tedious work, but\nSOMEBODY has to keep\nwatch over the city. And\nthat somebody is me!","虽然无聊，但是为了城里的安全，\n总得有人来做这份工作嘛。\n...片刻都不能大意哦。","",
711,"The monsters pretty much never hit\nus here. But the fact remains, they\neasily COULD. You can never tell\nwhat they're thinking!","最近没有发生魔物的袭击。\n可是只要我们一放松，\n它们又会看准机会打过来...\n就好像背后有人在操纵一样。","",
712,"Our little port town isn't behind\nwalls like Minea, so it falls on us\nto keep the place safe. In a sense,\nit's like WE'RE Barbado's walls.","本地没有像米内亚那样的城墙，\n所以就得靠我们的自卫队来保护了。","",
713,"<!empty>","","",
714,"<!empty>","","",
715,"I came here because I heard\nI could make a tidy profit\nin the local silver trade.","唉，我是听说这里的银矿很赚钱，\n才专程跑来这个边境地带的说。","",
716,"Now I just want to go home. Damned\nStormwall! May its stormy progeny\nall suffer uncomfortable bloating!","好想赶快回大陆哦。\n要不是有可恨的什么结界...","",
717,"You're from the mainland\nas well, aren't you? What\nbrings you to Esteria?","你也是从大陆来的人吧？\n你是来艾斯塔里亚做什么的呀？","",
718,"Do you know Pim, the barterer?\nHe came here around the same\ntime I did.","你知道米内亚的商人皮姆吗\n那家伙跟我差不多同一时候\n来艾斯塔里亚的。","",
719,"He's a shady one. Has to be, though,\nworkin' a place like that. Gotta\ncheck your scruples at the door.","听说他在那里很吃得开，\n想也知道他背地里不知干了多少肮脏事。\n要不然，\n开交换所怎么可能赚钱呢。","",
720,"At any rate, there's no way back to\nthe mainland right now. So I'm stuck\nhere, selling crap to the locals!","啊...到底有没有\n可以让我们回去大陆的方法呢...","",
721,"<!empty>","","",
722,"At one time, Barbado was swimming\nin traders like my husband. But\nthey all tried to go home, and got\nswallowed up by the storms.","以前巴尔巴多\n还有很多像我们一样的商人。\n大家搭船想逃离这里，\n结果都被暴风雨吞没...","",
723,"I'm just grateful to have\nmy family here with me,\nthough. That's enough to\nkeep me happy.","我是因为携家带眷的关系，\n行动慢人一步，没想到\n反而因此保住了一命。","",
724,"You're going to Minea, no?\nBe careful of the monsters\nwandering the plains.","你要去米内亚？\n那你得小心草原上的魔物哦。","",
725,"My husband does prattle on, doesn't\nhe? Maybe if he'd join the militia,\nor take up fishing, he could work\nout some of his anxiety.","我老公真是的，\n就只会在那里怨天尤人...\n他要嘛加入自卫队，要嘛去捕鱼\n活动活动身体都好。","",
726,"I need to look for\nsomething I can do to\nhelp around here, myself!","我也去找找看有没有我能做的\n对镇上有益的事情...","",
727,"<!empty>","","",
728,"<!empty>","","",
729,"My daddy always talks about\nleaving Esteria. But why\nwould I leave, when I have\nso many good friends here?","爸爸经常在说要离开这个国家。\n可是我一点也不想回去。\n我好不容易在这里交了朋友...。","",
730,"Ahhh... I think I'm gonna\ngo play with my friend\nnext door!","啊，我去找邻居的小孩玩。","",
731,"<!empty>","","",
732,"<!empty>","","",
733,"My son and his wife live\nin Minea.","我儿子跟媳妇\n都住在米内亚城内。","",
734,"They keep asking me to go live with\nthem...but they must be joking! This\nis my home. I could never leave\nhere, no matter what the danger!","他们要我一起去住...\n开什么玩笑，\n我是打死、\n都不会想离开这里的。","",
735,"At my age, I've no intention of\nfinding a new home.","都活到这个年纪了，我是不可能\n离开这住惯了的老家的。","",
736,"I was born and raised here.","我可是在这里出生、\n在这村长大的呀。","",
737,"I hope my son and his wife\nare doing well in Minea.","我那住在米内亚的\n儿子跟媳妇不知道好不好...","",
738,"I would like to be able to sneak\naway to see my grandchild...but\ntraveling these monster-infested\nroads is far too dangerous!","我的孙子正值淘气的年纪，\n没有一直在旁看着...\n搞不好会偷溜出城去呀。真是令人担心。","",
