1965,"Adol told Jeba of Sara's passing.","\n亚特鲁将莎拉死去的消息告诉洁瓦。","アドルは、サラの死をジェバに伝えた。",
1966,"...","......","…………。",
1967,"I see.","...是吗。","……そうかい。",
1968,"I had a terrible premonition that\nsomething like this might happen.","怪不得我一直有种不祥的预感。","なんとなくだが……嫌な予感はしていたさ。",
1973,"Sara, too...seemed to know the fate\nthat stood before her. I suppose it\nwas her job to know, after all.","莎拉自己应该...\n也有觉悟到自己的命运吧...","サラ自身も……おのれの運命を\nどこか悟っている様子があった……。",
1974,"...","......","…………。",
1975,"Does that bother you? If it sets\nyour mind at ease, do know that she\nhad completely accepted her destiny.","你在意莎拉的事是吗？\n那女孩一直很明白自己的命运。","サラのことが気になるのかい？\nあの娘は、おのれの運命を十分に理解していたよ。",
1976,"We shall both grieve, certainly.\nBut if you wish to honor her memory,\nthen...carry out her final wish.","你真那么伤心的话，\n就帮她把未完的事做完吧。","悲しんでやる気持ちがあるのなら\nあの娘がやり残したことを手伝っておくれ。",
1978," What will you do?","要做什么？","どうしますか？",
1979,"Speak to Jeba","与洁瓦讲话","ジェバと話す",
1980,"Speak to Feena","与菲娜讲话","フィーナと話す",
1981,"Ask Jeba to read","请她解读","本を読んでもらう",
1982,"Leave","不讲话了","話をやめる",
1984,"Why would I be imprisoned in such a\nplace...?","...为什么\n我会被关在那个地方...","……なぜ、あんな所に\n閉じこめられていたのか……。",
1985,"Try as I might, I simply cannot\nremember!","我依然还是不知道。","今の私には……分からないんです。",
1986,"My memories are of the prison, and my\nown name. Nothing else.","我记得的，只有在牢房里的一点点记忆，\n以及自己的名字而已...","私が覚えているのは、牢屋でのわずかな記憶と\n自分の名前だけ……。",
1987,"And whenever I attempt to focus and\nremember anything else, all that\ncomes to me is a headache...","每当我想去回忆过去的事，\n就会头疼欲裂...","前のことを思いだそうとすると\nなんだか頭が痛いんです……。",
1989,"Jeba is letting me stay with her\nfor as long as I need.","经过一阵商量，\n决定让菲娜暂时留在洁瓦家。","しばらくの間、ジェバさんの家に\n置いていただけることになりました。",
1990,"I...would like it if you'd come by\nto visit me from time to time, as\nwell. If you aren't busy, of course!","那个...有时间的时候\n过来看我一下，我会很高兴的...","あの……お暇な時でいいから\n会いに来てくださると嬉しいです……。",
1994,"Ah, it's you. If you're looking for\nFeena, she went out for a walk\naround the village.","哦，是你啊。\n要找菲娜的话，她现在应该在村子里散步吧。\n","おや、あんたかい。\nフィーナなら、村の中を散歩しているはずだよ。\n",
