0,"Slaff","斯拉夫","text2.ini",6,12,5094400,-1,
1,"Jacob","杰柯布","text2.ini",6,12,5094416,-1,
2,"Drake","多雷克","text2.ini",6,12,5094424,-1,
3,"Arcia","爱西亚","text2.ini",6,12,5094476,-1,
4,"Marco","马可","text2.ini",6,12,5094500,-1,
5,"Danny","达尼","text2.ini",6,12,5094528,-1,
6,"Karin","卡琳","text2.ini",6,12,5094580,-1,
7,"Lucca","路卡","text2.ini",6,12,5094692,-1,
8,"Orman","欧曼","text2.ini",6,12,5094712,-1,
9,"Donis","多尼斯","text2.ini",6,12,5094720,-1,
10,"Cezar","施杰鲁","text2.ini",6,12,5094744,-1,
11,"Chest","契斯特","text2.ini",6,12,5094764,-1,
12,"Lydia","莉迪亚","text2.ini",6,12,5094964,-1,
13,"Linda","琳达","text2.ini",6,12,5095060,-1,
14,"Clive","克莱弗","text2.ini",6,12,5095096,-1,
15,"Palma","帕尔玛","text2.ini",6,12,5095120,-1,
16,"Goban","古邦","text2.ini",6,12,5095236,-1,
17,"Uhnos","吾诺丝","text2.ini",6,12,5112044,5075992,
18,"Gryel","葛莉尔","text2.ini",6,12,5112100,5076020,
19,"Menon","美浓","text2.ini",6,12,5112128,5076032,
20,"Karon","卡隆","text2.ini",6,12,5112136,5076036,
21,"Cheryl","雪莉露","text2.ini",7,12,5094536,-1,
22,"Sylvia","希维娅","text2.ini",7,12,5094564,-1,
23,"Gerald","杰拉多","text2.ini",7,12,5094572,-1,
24,"Julius","朱里斯","text2.ini",7,12,5094628,-1,
25,"Aurora","欧萝拉","text2.ini",7,12,5094648,-1,
26,"Johann","约翰","text2.ini",7,12,5094664,-1,
27,"Charme","夏露姆","text2.ini",7,12,5094884,-1,
28,"Pamela","帕美拉","text2.ini",7,12,5094924,-1,
29,"Freddy","弗雷迪","text2.ini",7,12,5094972,-1,
30,"Martha","玛莎","text2.ini",7,12,5094980,-1,
31,"Elbert","艾巴特","text2.ini",7,12,5095184,-1,
32,"Oakrot","奥括德","text2.ini",7,12,5112020,5075980,
33,"Unugun","恶奴刚","text2.ini",7,12,5112036,5075988,
34,"Bulner","布尔娜","text2.ini",7,12,5112052,5075996,
35,"Looter","鲁塔","text2.ini",7,12,5112060,5076000,
36,"Dinvel","丁贝尔","text2.ini",7,12,5112084,5076012,
37,"Dynick","迪尼克","text2.ini",7,12,5112120,5076028,
38,"Genoid","基挪德","text2.ini",7,12,5112212,5076068,
39,"Xomack","左马克","text2.ini",7,12,5112220,5076072,
40,"Vilvan","威尔班","text2.ini",7,12,5112228,5076076,
41,"Twarth","图瓦斯","text2.ini",7,12,5112296,5076104,
42,"Talwar","塔瓦刀","text.ini",7,12,5121484,-1,
43,"Reflex","反射甲","text.ini",7,12,5121624,-1,
44,"Hammer","铁锤","text.ini",7,12,5122056,-1,
45,"Mirror","魔法镜","text.ini",7,12,5122064,-1,
46,"  HARD"," 困难","text.ini",7,12,5124328,-1,
47,"  EASY"," 简单","text.ini",7,12,5124348,-1,
48,"Plains","原野","text.ini",7,12,5124792,-1,
49,"Shrine","神殿","text.ini",7,12,5124876,-1,
50,"Golden","黄金","text.ini",7,12,5128376,-1,
51,"Custom","自定义","text.ini",7,12,5128520,-1,
52,"NORMAL","普通","text.ini",7,12,5129632,-1,
53,"Cancel","取消","text.ini",7,12,5129708,-1,
54,"OPTION","选项","text.ini",7,12,5129716,-1,
55,"Tuesday"," ","text.ini",8,12,5055964,-1,
56,"January"," ","text.ini",8,12,5056064,-1,
57,"October"," ","text.ini",8,12,5056136,-1,
58,"Stephan","史蒂芬","text2.ini",8,12,5094408,-1,
59,"Rebecca","蕾蓓卡","text2.ini",8,12,5094520,-1,
60,"Cornell","柯涅尔","text2.ini",8,12,5094656,-1,
61,"Garreck","盖雷克","text2.ini",8,12,5094728,-1,
62,"Ricardo","里卡鲁多","text2.ini",8,12,5094736,-1,
63,"Tabitha","塔碧莎","text2.ini",8,12,5094900,-1,
64,"Rosetty","洛赛提","text2.ini",8,12,5094932,-1,
65,"Pikkard","比卡多","text2.ini",8,12,5112004,5075972,
66,"Curloid","卡洛伊德","text2.ini",8,12,5112012,5075976,
67,"Rheboll","利伯鲁","text2.ini",8,12,5112028,5075984,
68,"Rescoyd","莱斯柯德","text2.ini",8,12,5112068,5076004,
69,"Nubbrow","纳布罗","text2.ini",8,12,5112092,5076016,
70,"Lemendy","里门狄","text2.ini",8,12,5112156,5076044,
71,"Brayzal","布雷泽鲁","text2.ini",8,12,5112164,5076048,
72,"Jestona","杰斯特娜","text2.ini",8,12,5112184,5076056,
73,"Normous","诺玛斯","text2.ini",8,12,5112204,5076064,
74,"Irebolg","埃尔伯格","text2.ini",8,12,5112248,5076084,
75,"Molfess","默尔费斯","text2.ini",8,12,5112256,5076088,
76,"Selnarg","塞鲁纳格","text2.ini",8,12,5112276,5076096,
