﻿2447,"All right, then.\nI won't argue.",好吧，我明白了。
2448,"I just wish I could be of\nmore assistance. I'm afraid\nI simply have no treatment\nfor chronic sleepwalking.","梦游症啊……\n这个我也束手无策。\n真是惭愧。"
2449,"Think nothing of it.\nI appreciate everything\nyou've done, Dr. Bludo.","哪里，没关系的。\n总之，真的非常感谢你。"
2450,"Well then, if you'll\nexcuse me...",那么我告辞了。
2452,"Oh, my! Pardon me!",啊，抱歉……
2454,"Hello, Adol. How is everything?","哦哦，是亚特鲁啊。\n近况如何呀？"
2455,"What, that fellow just now? That was\nLuta, from Zepik Village. He comes\naround...often-ish. Mostly at random.","什么，刚才那个人吗？\n他是塞皮克村的卢达。"
2456,"He's a chronic sleepwalker. One of\nthe militia members found him stag-\ngering about in the plains nearby.","听说他得了梦游症，\n在附近游荡的时候，\n正好被自卫队的人发现。"
2458,"With things as they are, sleepwalking is\na very, very dangerous affliction.","嗯……\n梦游症，是个很麻烦的病呢。"
2459,"Still, he seems healthy enough. I'm sure\nit's nothing to worry about!","不过卢达的脸色看起来很健康，\n应该也不用太过担心的吧……"
2460,"...Actually, he's in amazing shape, to\nbe perfectly honest. We should all be\nso lucky!","不管怎样，健康是最重要的。\n亚特鲁，你也要保重身体哦。"
2462,"He's such a young fellow, yet he's\nalready taken a wife. It's hard to\nbelieve!","刚才那个男人那么年轻\n就已经有老婆了呢。"
2463,"With him disappearing all the time,\nthough, she must be a nervous wreck!","一早起来就找不到老公……\n做妻子的一定担心得坐立不安了吧。"
2464,"Still, we should just be grateful\nhe's alive, all things considered.","不过他从塞皮克村到这里的途中，\n没有遭到魔物的袭击真是太好了。"
2465,"I hope he makes it back home, safe and\nsound...","希望他可以平安地\n回到他妻子的身边……"
2467,S-s-s...,……救…救…
2468,...SAAAAAVE MEEEEE!!,…救…救我……
2469,"Don't just stand there!\nSAVE ME!!",别光看着，救救我啊<1-！
2471,"Th-thank you so much... I\ndon't know who you are, but\nyou really did save my life.","谢、谢谢你。\n虽然不知道你是谁，\n谢谢你帮我捡回一条命。"
2473,"Ah, wait a moment... I believe\nI saw you at the Barbado Clinic,\ndid I not?","哎呀，你好像是……\n我在巴尔巴多的医院见过你。"
2474,"Please, pardon my awful manners.\nMy name is Luta. Luta Gemma. From\nZepik Village.","……抱歉还没自我介绍。\n我是塞皮克村的卢达・洁玛。"
2475,"Adol gave his name, and explained\nthat Luta's wife was quite concerned\nabout him.","亚特鲁报出了自己的姓名，\n并告诉卢达他的妻子正在找他。"
2476,"I see... So I've made\nher worry again.","是这样啊……\n我又害她担心了。"
2477,"Damn my sound sleeping!\nWhy does nothing wake me\nwhen I sleepwalk?!","说起来真丢脸，\n我好像得了梦游症。"
2478,"I've had this problem for\nsix months...ever since the\nStormwall appeared.","大概在半年前开始发病的……\n差不多是『岚之结界』出现的那个时候。"
2479,"And...look at that. Once again,\nI've wound up in the middle of\nnowhere trying to get back home!","哎呀……\n我是什么时候\n跑到这里来的？"
2480,"Which way is Zepik Village?\nOr...would you be able to\nescort me there, perchance?","塞皮克村在哪里呢？\n如果你知道的话，能带我回去吗？"
2481,"Adol agreed to escort Luta\nGemma back to Zepik Village.","在卢达・洁玛的拜托之下，\n决定护送他回塞皮克村。"
2482,"Something's sparkling at\nthe bottom of the pond.",池塘底下有东西在闪闪发光。
2483,Oh...my dearest Luta!,啊……卢达！
2484,"I'm so sorry for causing\nsuch a fuss...","对不起……\n让你担心了。"
2485,"I thought for sure\nthe monsters had\neaten your face off...","我还以为你被\n魔物袭击了呢……"
2486,I was so very worried!,我真的……快担心死了……！
2487,"Your imagination runs wild,\nmy dear. Almost scarily so!\nBut I'm all right.","放心啦，你看，\n我不是什么事也没有嘛。"
