﻿301,*Pitter-patter*,啪啪啪啪…
302,Woof! Woof!,汪~？
303,Squawk?!,咕咕！？
304,*Burble-burble*,咕噜噜…
305,Meow?,喵喵？
306,Graaawk?,咕啊？
307,...,………
308,"Well, that was...a thing.",无聊的杂耍到此为止了…
309,Where is he...?,在哪里啊…？
310,Adol? Where did you go?!,亚特鲁先生…你在哪里…？
311,...,………
312,I'm scared...,好可怕…
313,Ahh...,啊…
314,He'll be here...I know it!,"他…\n一定会来的。"
315,...,………
316,I... I...,我…我…
317,Ohh...I'm so scared...,…讨厌…好可怕…
318,Time...stopped...?,时间…停止了吗…？
319,...Zzzz...,…呼呼……
320,"Adol, what's wrong?",亚特鲁先生，怎么了？
321,Didn't see THAT coming!,…请不要恶作剧。
322,My stars...!,…是我心理作用吗…？
323,Residence,民宅
324,Barbado Port,巴尔巴多港口镇
325,Bludo's Clinic,布卢多医院
326,Militia HQ,自卫队指挥部
327,Militia Armory,自卫队武器库
328,Bar,酒馆
329,Town of Minea,米内亚镇
330,Sara's Fortunes,占卜师莎拉的店
331,Rosetty's Weaponry,罗赛提武器店
332,Dios' Armory,迪奥斯防具店
333,Klaus' Clinic,克劳斯医院
334,Orman's Spirits,欧曼酒馆
335,Pim's Pawn,皮姆交易所
336,Zepik Village,塞皮克村
337,Mayor's Home,村长的家
338,Jeba's Home,洁瓦的家
339,Luta's Home,卢达的家
340,Thieves' Den,盗贼碉堡
341,Plains,草原
342,Roda Tree,萝妲之树
343,Abandoned Mine,废坑
344,Shrine,神殿
345,Shrine B1,第1层
346,Shrine B2,第2层
347,Shrine B3,第3层
348,Darm Tower,达姆之塔
349,Prison,地牢
350,Rado's Annex,拉朵之塔
351,Test Map,测试地图
352,Volume Hadal,哈达尔之章
353,Volume Tovah,托霸之章
354,Volume Dabbie,达比之章
355,Volume Mesa,梅撒之章
356,Volume Gemma,洁玛之章
357,Volume Fact,法克特之章
358," has\nbeen obtained.","\n获得了。"
359," has\nbeen purchased.","\n买下来了。"
